                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.71933,                0.45446,                 0.8776,                0.93041,                0.31598,                0.44963,                0.32838,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                    144,                0.71791,                0.44782,                0.88333,                 0.9085,                0.30353,                0.45055,                0.33804,                    nan,                    nan,                    nan,             0.00041748,             0.00041748,             0.00041748
                    145,                0.72442,                0.45474,                0.88258,                0.86442,                0.32261,                0.44574,                0.32981,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                    146,                 0.7014,                0.45912,                0.89002,                0.86489,                0.32062,                0.44909,                0.32561,                    nan,                    nan,                    nan,             0.00040334,             0.00040334,             0.00040334
                    147,                0.73826,                0.46546,                0.88147,                0.91115,                0.31774,                0.45169,                0.34126,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                    148,                0.71716,                0.44693,                0.90109,                0.88818,                0.31234,                0.44866,                0.33456,                    nan,                    nan,                    nan,             0.00038919,             0.00038919,             0.00038919
                    149,                0.71087,                0.44167,                0.88399,                0.89487,                0.31361,                0.45057,                0.33557,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                    150,                 0.7206,                0.45822,                0.87142,                0.88753,                0.31957,                0.45983,                0.34572,                    nan,                    nan,                    nan,             0.00037504,             0.00037504,             0.00037504
                    151,                0.68647,                0.43068,                0.87084,                0.84337,                0.32104,                0.46073,                0.34279,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                    152,                0.69821,                0.44715,                0.87893,                  0.898,                0.32078,                0.45278,                0.33476,                    nan,                    nan,                    nan,             0.00036089,             0.00036089,             0.00036089
                    153,                0.72895,                0.44404,                0.87507,                0.87445,                0.32611,                0.45315,                0.33274,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                    154,                0.79084,                0.46543,                0.90649,                0.85365,                0.32326,                 0.4481,                0.33054,                    nan,                    nan,                    nan,             0.00034675,             0.00034675,             0.00034675
                    155,                0.72876,                0.45341,                0.87571,                0.91287,                0.32045,                0.44831,                0.32662,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                    156,                0.71583,                0.43991,                 0.8878,                0.90782,                0.32379,                0.45033,                0.33278,                    nan,                    nan,                    nan,              0.0003326,              0.0003326,              0.0003326
